Power,Result,PatternRIS0,PatternRIS1
10.0,-69.51274394989014,0,0
10.0,-70.8695936203003,0,0
10.0,-72.83111095428467,0,0
10.0,-68.3891487121582,0,1
10.0,-71.43850803375244,0,1
10.0,-72.92878150939941,0,1
10.0,-69.08138275146484,0,2
10.0,-71.71236991882324,0,2
10.0,-73.016676902771,0,2
10.0,-68.86149883270264,1,0
10.0,-72.02206134796143,1,0
10.0,-73.09789657592773,1,0
10.0,-69.72209453582764,1,1
10.0,-72.24614143371582,1,1
10.0,-73.1417465209961,1,1
10.0,-70.07084369659424,1,2
10.0,-72.48996257781982,1,2
10.0,-73.05083274841309,1,2
10.0,-70.31288146972656,2,0
10.0,-72.36368179321289,2,0
10.0,-73.10927391052246,2,0
10.0,-70.65473556518555,2,1
10.0,-72.67050266265869,2,1
10.0,-73.13194751739502,2,1
10.0,-70.65911293029785,2,2
10.0,-72.63746738433838,2,2
10.0,-73.04411888122559,2,2
