Power,Result,PatternRIS0,PatternRIS1
10.0,-68.08373928070068,0,0
10.0,-71.54282569885254,0,0
10.0,-73.10665607452393,0,0
10.0,-68.83564472198486,0,1
10.0,-73.48951816558838,0,1
10.0,-73.93588542938232,0,1
10.0,-69.21297550201416,0,2
10.0,-72.22781658172607,0,2
10.0,-73.95781517028809,0,2
10.0,-69.95811462402344,1,0
10.0,-72.5110912322998,1,0
10.0,-73.98674488067627,1,0
10.0,-70.03213405609131,1,1
10.0,-72.90328979492188,1,1
10.0,-74.12002086639404,1,1
10.0,-71.16457462310791,1,2
10.0,-72.97089099884033,1,2
10.0,-74.29393768310547,1,2
10.0,-71.66345119476318,2,0
10.0,-73.19314002990723,2,0
10.0,-74.21175956726074,2,0
10.0,-70.10318279266357,2,1
10.0,-73.47065448760986,2,1
10.0,-74.19288635253906,2,1
10.0,-70.83108901977539,2,2
10.0,-73.55063438415527,2,2
10.0,-74.39619064331055,2,2
