Power,Result,PatternRIS0,PatternRIS1
10.0,-69.38040733337402,0,0
10.0,-71.92956924438477,0,0
10.0,-74.01605129241943,0,0
10.0,-68.58944892883301,0,1
10.0,-72.18761444091797,0,1
10.0,-74.09552097320557,0,1
10.0,-69.49911594390869,0,2
10.0,-72.17385292053223,0,2
10.0,-73.86816501617432,0,2
10.0,-70.06151676177979,1,0
10.0,-72.33234882354736,1,0
10.0,-73.96291255950928,1,0
10.0,-70.5819034576416,1,1
10.0,-73.01290512084961,1,1
10.0,-73.98301601409912,1,1
10.0,-69.44241523742676,1,2
10.0,-73.4477949142456,1,2
10.0,-74.00370597839355,1,2
10.0,-70.12415409088135,2,0
10.0,-73.43705654144287,2,0
10.0,-74.12252426147461,2,0
10.0,-70.75767517089844,2,1
10.0,-73.97155284881592,2,1
10.0,-74.22082901000977,2,1
10.0,-71.23863220214844,2,2
10.0,-73.72498512268066,2,2
10.0,-74.29354667663574,2,2
