Power,Result,PatternRIS0,PatternRIS1
10.0,-67.5823450088501,0,0
10.0,-70.38374900817871,0,0
10.0,-72.2083568572998,0,0
10.0,-67.43906021118164,0,1
10.0,-70.54583072662354,0,1
10.0,-72.34625816345215,0,1
10.0,-67.35385417938232,0,2
10.0,-71.07503414154053,0,2
10.0,-72.43002891540527,0,2
10.0,-67.56038188934326,1,0
10.0,-71.39825344085693,1,0
10.0,-72.51248836517334,1,0
10.0,-68.56709003448486,1,1
10.0,-71.69950485229492,1,1
10.0,-72.57957458496094,1,1
10.0,-69.07148838043213,1,2
10.0,-71.74396514892578,1,2
10.0,-72.67707347869873,1,2
10.0,-68.99159908294678,2,0
10.0,-71.97404384613037,2,0
10.0,-72.68885612487793,2,0
10.0,-69.6234130859375,2,1
10.0,-72.03339099884033,2,1
10.0,-72.72762775421143,2,1
10.0,-70.42263507843018,2,2
10.0,-72.26808071136475,2,2
10.0,-72.61139392852783,2,2
