Power,Result,PatternRIS0,PatternRIS1
10.0,-67.47805118560791,0,0
10.0,-72.5343132019043,0,0
10.0,-73.83141040802002,0,0
10.0,-66.87424182891846,0,1
10.0,-72.41406917572021,0,1
10.0,-73.94523620605469,0,1
10.0,-67.83003807067871,0,2
10.0,-72.31037616729736,0,2
10.0,-74.04898643493652,0,2
10.0,-69.86507415771484,1,0
10.0,-72.83071517944336,1,0
10.0,-73.90990257263184,1,0
10.0,-70.61521530151367,1,1
10.0,-73.23255062103271,1,1
10.0,-74.11358833312988,1,1
10.0,-70.93117713928223,1,2
10.0,-72.92759895324707,1,2
10.0,-74.01072025299072,1,2
10.0,-71.72236442565918,2,0
10.0,-73.24304103851318,2,0
10.0,-74.16601181030273,2,0
10.0,-70.75196266174316,2,1
10.0,-73.67597579956055,2,1
10.0,-74.15398120880127,2,1
10.0,-70.97142219543457,2,2
10.0,-73.77871036529541,2,2
10.0,-74.35037136077881,2,2
