Power,Result,PatternRIS0,PatternRIS1
10.0,-67.6116418838501,0,0
10.0,-70.98327159881592,0,0
10.0,-72.36691474914551,0,0
10.0,-66.6081190109253,0,1
10.0,-71.6072416305542,0,1
10.0,-72.59891510009766,0,1
10.0,-67.4934720993042,0,2
10.0,-71.15883827209473,0,2
10.0,-72.57118225097656,0,2
10.0,-68.22197914123535,1,0
10.0,-71.39261245727539,1,0
10.0,-72.67218112945557,1,0
10.0,-68.52011203765869,1,1
10.0,-71.41984939575195,1,1
10.0,-72.68382549285889,1,1
10.0,-69.01981830596924,1,2
10.0,-71.9272232055664,1,2
10.0,-72.68185615539551,1,2
10.0,-70.79662799835205,2,0
10.0,-71.86419486999512,2,0
10.0,-72.8253984451294,2,0
10.0,-69.96519088745117,2,1
10.0,-72.14212417602539,2,1
10.0,-72.71629810333252,2,1
10.0,-70.89758396148682,2,2
10.0,-72.32829093933105,2,2
10.0,-72.79783725738525,2,2
