Power,Result,PatternRIS0,PatternRIS1
10.0,-70.76162338256836,0,0
10.0,-71.8971586227417,0,0
10.0,-73.19597244262695,0,0
10.0,-67.13332653045654,0,1
10.0,-71.86746597290039,0,1
10.0,-73.26766967773438,0,1
10.0,-68.54788780212402,0,2
10.0,-72.27383613586426,0,2
10.0,-73.34979057312012,0,2
10.0,-68.43677520751953,1,0
10.0,-72.40395545959473,1,0
10.0,-73.33640098571777,1,0
10.0,-68.94464492797852,1,1
10.0,-72.47821807861328,1,1
10.0,-73.41888904571533,1,1
10.0,-70.10780334472656,1,2
10.0,-72.90242671966553,1,2
10.0,-73.4809398651123,1,2
10.0,-70.60471534729004,2,0
10.0,-72.9264783859253,2,0
10.0,-73.4442949295044,2,0
10.0,-71.1409330368042,2,1
10.0,-73.09971809387207,2,1
10.0,-73.56285572052002,2,1
10.0,-71.58310413360596,2,2
10.0,-73.19452285766602,2,2
10.0,-73.38976860046387,2,2
