Power,Result,PatternRIS0,PatternRIS1
10.0,-67.00576782226562,0,0
10.0,-70.97712993621826,0,0
10.0,-72.21419334411621,0,0
10.0,-66.22876167297363,0,1
10.0,-71.17054462432861,0,1
10.0,-72.4345874786377,0,1
10.0,-66.53140068054199,0,2
10.0,-71.24378204345703,0,2
10.0,-72.43101119995117,0,2
10.0,-67.81389236450195,1,0
10.0,-71.36096477508545,1,0
10.0,-72.38751411437988,1,0
10.0,-67.88589000701904,1,1
10.0,-71.89632415771484,1,1
10.0,-72.35974311828613,1,1
10.0,-69.14727210998535,1,2
10.0,-71.75950527191162,1,2
10.0,-72.4345064163208,1,2
10.0,-70.00386238098145,2,0
10.0,-71.86520576477051,2,0
10.0,-72.55748748779297,2,0
10.0,-69.9297285079956,2,1
10.0,-72.15219020843506,2,1
10.0,-72.51338005065918,2,1
10.0,-70.71818351745605,2,2
10.0,-72.29979038238525,2,2
10.0,-72.49300956726074,2,2
