Power,Result,PatternRIS0,PatternRIS1
10.0,-67.12894439697266,0,0
10.0,-71.18608474731445,0,0
10.0,-72.09531784057617,0,0
10.0,-66.98785781860352,0,1
10.0,-71.42091751098633,0,1
10.0,-72.22403049468994,0,1
10.0,-67.16594696044922,0,2
10.0,-71.48720264434814,0,2
10.0,-72.3089075088501,0,2
10.0,-69.20951843261719,1,0
10.0,-71.7177963256836,1,0
10.0,-72.30679512023926,1,0
10.0,-69.54121589660645,1,1
10.0,-71.68114185333252,1,1
10.0,-72.38500595092773,1,1
10.0,-69.51471328735352,1,2
10.0,-72.02942371368408,1,2
10.0,-72.46689796447754,1,2
10.0,-69.37094688415527,2,0
10.0,-71.71592235565186,2,0
10.0,-72.52426147460938,2,0
10.0,-70.35685062408447,2,1
10.0,-71.9596004486084,2,1
10.0,-72.43484497070312,2,1
10.0,-71.14388465881348,2,2
10.0,-72.11267948150635,2,2
10.0,-72.56937503814697,2,2
