Power,Result,PatternRIS0,PatternRIS1
10.0,-67.80940055847168,0,0
10.0,-71.21148586273193,0,0
10.0,-73.934326171875,0,0
10.0,-68.42239379882812,0,1
10.0,-72.26061820983887,0,1
10.0,-74.21382904052734,0,1
10.0,-69.23449993133545,0,2
10.0,-72.70694732666016,0,2
10.0,-74.07979488372803,0,2
10.0,-69.7893762588501,1,0
10.0,-73.35770606994629,1,0
10.0,-74.17895317077637,1,0
10.0,-70.39896965026855,1,1
10.0,-73.53553771972656,1,1
10.0,-74.30493831634521,1,1
10.0,-70.992112159729,1,2
10.0,-73.60336303710938,1,2
10.0,-74.26594734191895,1,2
10.0,-70.0967025756836,2,0
10.0,-73.50629806518555,2,0
10.0,-74.30009841918945,2,0
10.0,-70.50159454345703,2,1
10.0,-73.6365795135498,2,1
10.0,-74.2692756652832,2,1
10.0,-72.05277919769287,2,2
10.0,-73.83498191833496,2,2
10.0,-74.37193393707275,2,2
