Power,Result,PatternRIS0,PatternRIS1
10.0,-68.11420917510986,0,0
10.0,-71.7512845993042,0,0
10.0,-74.00157928466797,0,0
10.0,-66.94825172424316,0,1
10.0,-71.93183422088623,0,1
10.0,-73.79528045654297,0,1
10.0,-67.4957799911499,0,2
10.0,-72.14607238769531,0,2
10.0,-74.0191125869751,0,2
10.0,-67.7350902557373,1,0
10.0,-73.14934730529785,1,0
10.0,-73.99696350097656,1,0
10.0,-69.01744842529297,1,1
10.0,-72.92360782623291,1,1
10.0,-74.31859493255615,1,1
10.0,-69.49973583221436,1,2
10.0,-73.34631443023682,1,2
10.0,-74.22219276428223,1,2
10.0,-70.23309707641602,2,0
10.0,-73.50732326507568,2,0
10.0,-74.25904750823975,2,0
10.0,-70.52342414855957,2,1
10.0,-73.57244968414307,2,1
10.0,-74.28926944732666,2,1
10.0,-71.34002208709717,2,2
10.0,-73.47629070281982,2,2
10.0,-74.1810655593872,2,2
