Power,Result,PatternRIS0,PatternRIS1
10.0,-67.58203029632568,0,0
10.0,-70.6179141998291,0,0
10.0,-72.07853317260742,0,0
10.0,-68.21985721588135,0,1
10.0,-71.08816623687744,0,1
10.0,-72.14128017425537,0,1
10.0,-67.88544654846191,0,2
10.0,-71.38335227966309,0,2
10.0,-72.29569435119629,0,2
10.0,-66.08219623565674,1,0
10.0,-71.39129638671875,1,0
10.0,-72.34542846679688,1,0
10.0,-69.9560546875,1,1
10.0,-71.40118598937988,1,1
10.0,-72.39412307739258,1,1
10.0,-70.52837371826172,1,2
10.0,-71.6914415359497,1,2
10.0,-72.47114658355713,1,2
10.0,-69.38816547393799,2,0
10.0,-71.7853307723999,2,0
10.0,-72.48780727386475,2,0
10.0,-70.2184009552002,2,1
10.0,-72.26303577423096,2,1
10.0,-72.54420757293701,2,1
10.0,-70.77938556671143,2,2
10.0,-72.10135459899902,2,2
10.0,-72.5192642211914,2,2
