Timestamp,Power,Result,PatternRIS0,PatternRIS1
2025-05-13T19:56:22.561367,10.0,-28.658266067504883,0,0
2025-05-13T19:56:22.759990,10.0,-28.665523529052734,0,1
2025-05-13T19:56:22.959243,10.0,-28.720715045928955,0,2
2025-05-13T19:56:23.157943,10.0,-28.744261264801025,0,3
2025-05-13T19:56:23.354218,10.0,-28.74549388885498,0,4
2025-05-13T19:56:23.553971,10.0,-28.735499382019043,0,5
2025-05-13T19:56:23.751822,10.0,-28.720102310180664,0,6
2025-05-13T19:56:23.947603,10.0,-28.70185375213623,0,7
2025-05-13T19:56:24.146810,10.0,-28.59046220779419,0,8
2025-05-13T19:56:24.345025,10.0,-28.55593204498291,0,9
2025-05-13T19:56:24.542697,10.0,-28.591854572296143,0,10
2025-05-13T19:56:24.740062,10.0,-28.625919818878174,0,11
2025-05-13T19:56:24.938281,10.0,-28.607282638549805,0,12
2025-05-13T19:56:25.135221,10.0,-28.546583652496338,0,13
2025-05-13T19:56:25.327976,10.0,-28.511886596679688,0,14
2025-05-13T19:56:25.531198,10.0,-28.51757049560547,0,15
2025-05-13T19:56:25.730027,10.0,-28.73349905014038,0,16
2025-05-13T19:56:25.926987,10.0,-28.786182403564453,0,17
2025-05-13T19:56:26.124857,10.0,-28.814074993133545,0,18
2025-05-13T19:56:26.324478,10.0,-28.842101097106934,0,19
2025-05-13T19:56:26.522258,10.0,-28.826768398284912,0,20
2025-05-13T19:56:26.720810,10.0,-28.793621063232422,0,21
2025-05-13T19:56:26.913662,10.0,-28.78268003463745,0,22
2025-05-13T19:56:27.115217,10.0,-28.711957931518555,0,23
2025-05-13T19:56:27.311499,10.0,-28.606643676757812,0,24
2025-05-13T19:56:27.510324,10.0,-28.60067129135132,0,25
2025-05-13T19:56:27.707597,10.0,-28.679540157318115,0,26
2025-05-13T19:56:27.905991,10.0,-28.682241439819336,0,27
2025-05-13T19:56:28.098159,10.0,-28.576838970184326,0,28
2025-05-13T19:56:28.296703,10.0,-28.48538875579834,0,29
2025-05-13T19:56:28.501351,10.0,-28.45646858215332,0,30
2025-05-13T19:56:28.698689,10.0,-28.80997896194458,0,31
2025-05-13T19:56:28.898332,10.0,-28.862755298614502,0,32
2025-05-13T19:56:29.096495,10.0,-28.908655643463135,0,33
2025-05-13T19:56:29.294256,10.0,-28.921632766723633,0,34
2025-05-13T19:56:29.492980,10.0,-28.887934684753418,0,35
2025-05-13T19:56:29.690316,10.0,-28.85382890701294,0,36
2025-05-13T19:56:29.888363,10.0,-28.790009021759033,0,37
2025-05-13T19:56:30.086084,10.0,-28.71502161026001,0,38
2025-05-13T19:56:30.283802,10.0,-28.63677978515625,0,39
2025-05-13T19:56:30.482126,10.0,-28.6612868309021,0,40
2025-05-13T19:56:30.680488,10.0,-28.68943691253662,0,41
2025-05-13T19:56:30.876573,10.0,-28.6167311668396,0,42
2025-05-13T19:56:31.078550,10.0,-28.49053382873535,0,43
2025-05-13T19:56:31.277447,10.0,-28.394689559936523,0,44
2025-05-13T19:56:31.474664,10.0,-28.892347812652588,0,45
2025-05-13T19:56:31.674057,10.0,-28.9632511138916,0,46
2025-05-13T19:56:31.871183,10.0,-28.99538516998291,0,47
2025-05-13T19:56:32.070708,10.0,-29.00846004486084,0,48
2025-05-13T19:56:32.266192,10.0,-28.98218870162964,0,49
