Timestamp,Power,Result,PatternRIS0,PatternRIS1
2025-05-13T19:56:22.561905,10.0,-31.688621044158936,0,0
2025-05-13T19:56:22.758080,10.0,-31.858046054840088,0,1
2025-05-13T19:56:22.953223,10.0,-31.867225170135498,0,2
2025-05-13T19:56:23.152628,10.0,-31.888399124145508,0,3
2025-05-13T19:56:23.356302,10.0,-31.752851009368896,0,4
2025-05-13T19:56:23.551774,10.0,-31.73147439956665,0,5
2025-05-13T19:56:23.750259,10.0,-31.866912841796875,0,6
2025-05-13T19:56:23.949024,10.0,-31.817431449890137,0,7
2025-05-13T19:56:24.145165,10.0,-31.642742156982422,0,8
2025-05-13T19:56:24.344524,10.0,-31.620512008666992,0,9
2025-05-13T19:56:24.537302,10.0,-31.695523262023926,0,10
2025-05-13T19:56:24.740564,10.0,-31.69037103652954,0,11
2025-05-13T19:56:24.932829,10.0,-31.629295349121094,0,12
2025-05-13T19:56:25.134706,10.0,-31.497485637664795,0,13
2025-05-13T19:56:25.333935,10.0,-31.414568424224854,0,14
2025-05-13T19:56:25.531719,10.0,-31.36866807937622,0,15
2025-05-13T19:56:25.724736,10.0,-32.048513889312744,0,16
2025-05-13T19:56:25.928572,10.0,-32.200682163238525,0,17
2025-05-13T19:56:26.126128,10.0,-32.224669456481934,0,18
2025-05-13T19:56:26.323455,10.0,-32.123169898986816,0,19
2025-05-13T19:56:26.521698,10.0,-32.04323768615723,0,20
2025-05-13T19:56:26.720310,10.0,-32.12844371795654,0,21
2025-05-13T19:56:26.919339,10.0,-32.1772027015686,0,22
2025-05-13T19:56:27.114702,10.0,-32.00322866439819,0,23
2025-05-13T19:56:27.310985,10.0,-31.845600605010986,0,24
2025-05-13T19:56:27.504780,10.0,-31.896064281463623,0,25
2025-05-13T19:56:27.705777,10.0,-31.94211483001709,0,26
2025-05-13T19:56:27.905481,10.0,-31.871211528778076,0,27
2025-05-13T19:56:28.101618,10.0,-31.653461456298828,0,28
2025-05-13T19:56:28.302282,10.0,-31.447744369506836,0,29
2025-05-13T19:56:28.500845,10.0,-31.22889757156372,0,30
2025-05-13T19:56:28.699190,10.0,-32.35437870025635,0,31
2025-05-13T19:56:28.897826,10.0,-32.55260467529297,0,32
2025-05-13T19:56:29.095995,10.0,-32.46657848358154,0,33
2025-05-13T19:56:29.288305,10.0,-32.409658432006836,0,34
2025-05-13T19:56:29.487372,10.0,-32.407939434051514,0,35
2025-05-13T19:56:29.689040,10.0,-32.397263050079346,0,36
2025-05-13T19:56:29.882746,10.0,-32.359654903411865,0,37
2025-05-13T19:56:30.080974,10.0,-32.21009016036987,0,38
2025-05-13T19:56:30.278569,10.0,-32.07845449447632,0,39
2025-05-13T19:56:30.476692,10.0,-32.09257125854492,0,40
2025-05-13T19:56:30.675224,10.0,-32.0566463470459,0,41
2025-05-13T19:56:30.873112,10.0,-31.844828128814697,0,42
2025-05-13T19:56:31.072690,10.0,-31.533122062683105,0,43
2025-05-13T19:56:31.275657,10.0,-31.20659351348877,0,44
2025-05-13T19:56:31.469884,10.0,-32.7086067199707,0,45
2025-05-13T19:56:31.668113,10.0,-32.79114246368408,0,46
2025-05-13T19:56:31.867762,10.0,-32.736380100250244,0,47
2025-05-13T19:56:32.070206,10.0,-32.7731728553772,0,48
2025-05-13T19:56:32.262752,10.0,-32.698702812194824,0,49
2025-05-13T19:56:32.466956,10.0,-32.573933601379395,0,50
2025-05-13T19:56:32.660119,10.0,-32.516727447509766,0,51
2025-05-13T19:56:32.857454,10.0,-32.37761974334717,0,52
2025-05-13T19:56:33.055702,10.0,-32.228147983551025,0,53
2025-05-13T19:56:33.253142,10.0,-32.14756965637207,0,54
2025-05-13T19:56:33.451175,10.0,-31.940908432006836,0,55
2025-05-13T19:56:33.649116,10.0,-31.649272441864014,0,56
2025-05-13T19:56:33.850549,10.0,-31.269874572753906,0,57
2025-05-13T19:56:34.044212,10.0,-31.70889377593994,1,0
2025-05-13T19:56:34.242825,10.0,-31.805319786071777,1,1
2025-05-13T19:56:34.439645,10.0,-31.797866821289062,1,2
2025-05-13T19:56:34.641005,10.0,-31.825885772705078,1,3
2025-05-13T19:56:34.835539,10.0,-31.709046363830566,1,4
2025-05-13T19:56:35.034148,10.0,-31.7022705078125,1,5
2025-05-13T19:56:35.233226,10.0,-31.818742752075195,1,6
2025-05-13T19:56:35.437482,10.0,-31.75685167312622,1,7
2025-05-13T19:56:35.633518,10.0,-31.59902334213257,1,8
2025-05-13T19:56:35.833681,10.0,-31.60578966140747,1,9
2025-05-13T19:56:36.026660,10.0,-31.689870357513428,1,10
2025-05-13T19:56:36.228236,10.0,-31.67325735092163,1,11
2025-05-13T19:56:36.423316,10.0,-31.63083553314209,1,12
2025-05-13T19:56:36.626855,10.0,-31.522338390350342,1,13
2025-05-13T19:56:36.819624,10.0,-31.41878604888916,1,14
2025-05-13T19:56:37.022801,10.0,-31.31866693496704,1,15
2025-05-13T19:56:37.220055,10.0,-31.97561740875244,1,16
2025-05-13T19:56:37.413820,10.0,-32.13114261627197,1,17
2025-05-13T19:56:37.611571,10.0,-32.16839075088501,1,18
2025-05-13T19:56:37.809412,10.0,-32.075486183166504,1,19
2025-05-13T19:56:38.007467,10.0,-31.97793483734131,1,20
2025-05-13T19:56:38.208275,10.0,-32.055110931396484,1,21
2025-05-13T19:56:38.402409,10.0,-32.11863994598389,1,22
2025-05-13T19:56:38.599339,10.0,-31.982178688049316,1,23
2025-05-13T19:56:38.796752,10.0,-31.841957569122314,1,24
2025-05-13T19:56:38.993193,10.0,-31.88716173171997,1,25
2025-05-13T19:56:39.191897,10.0,-31.93852186203003,1,26
2025-05-13T19:56:39.395125,10.0,-31.88750982284546,1,27
2025-05-13T19:56:39.593564,10.0,-31.65384531021118,1,28
2025-05-13T19:56:39.791540,10.0,-31.404988765716553,1,29
2025-05-13T19:56:39.986524,10.0,-31.168172359466553,1,30
2025-05-13T19:56:40.183119,10.0,-32.27774143218994,1,31
2025-05-13T19:56:40.375087,10.0,-32.47628211975098,1,32
2025-05-13T19:56:40.572295,10.0,-32.40168571472168,1,33
2025-05-13T19:56:40.773670,10.0,-32.34019994735718,1,34
2025-05-13T19:56:40.973357,10.0,-32.340247631073,1,35
2025-05-13T19:56:41.169517,10.0,-32.346837520599365,1,36
2025-05-13T19:56:41.367986,10.0,-32.34060287475586,1,37
2025-05-13T19:56:41.563551,10.0,-32.19267129898071,1,38
2025-05-13T19:56:41.762389,10.0,-32.065532207489014,1,39
2025-05-13T19:56:41.961525,10.0,-32.09222078323364,1,40
2025-05-13T19:56:42.161185,10.0,-32.08576202392578,1,41
2025-05-13T19:56:42.363723,10.0,-31.847269535064697,1,42
2025-05-13T19:56:42.561798,10.0,-31.49634838104248,1,43
2025-05-13T19:56:42.755457,10.0,-31.154985427856445,1,44
2025-05-13T19:56:42.954298,10.0,-32.63212203979492,1,45
2025-05-13T19:56:43.153296,10.0,-32.71871089935303,1,46
2025-05-13T19:56:43.351010,10.0,-32.68441200256348,1,47
2025-05-13T19:56:43.552205,10.0,-32.71754741668701,1,48
2025-05-13T19:56:43.747352,10.0,-32.6384711265564,1,49
2025-05-13T19:56:43.945575,10.0,-32.54119634628296,1,50
2025-05-13T19:56:44.149721,10.0,-32.50480890274048,1,51
2025-05-13T19:56:44.342593,10.0,-32.37468719482422,1,52
2025-05-13T19:56:44.540786,10.0,-32.22455978393555,1,53
2025-05-13T19:56:44.738753,10.0,-32.162601947784424,1,54
2025-05-13T19:56:44.943098,10.0,-31.993656158447266,1,55
