Timestamp,Power,Result,PatternRIS0
2025-11-19T14:22:38.193946,10.0,-74.45260047912598,0
2025-11-19T14:22:38.381747,10.0,-74.31248188018799,1
2025-11-19T14:22:38.569168,10.0,-74.36931133270264,2
2025-11-19T14:22:38.757109,10.0,-74.33433532714844,3
2025-11-19T14:22:38.945464,10.0,-74.33906078338623,4
2025-11-19T14:22:39.133800,10.0,-74.37960624694824,5
2025-11-19T14:22:39.322078,10.0,-74.35337543487549,6
2025-11-19T14:22:39.508707,10.0,-74.34248447418213,7
2025-11-19T14:22:39.696502,10.0,-74.31074619293213,8
2025-11-19T14:22:39.884728,10.0,-74.35905456542969,9
2025-11-19T14:22:40.072985,10.0,-74.28319454193115,10
2025-11-19T14:22:40.260651,10.0,-74.32724952697754,11
2025-11-19T14:22:40.448629,10.0,-74.3095874786377,12
2025-11-19T14:22:40.636577,10.0,-74.27788734436035,13
2025-11-19T14:22:40.824263,10.0,-74.21347618103027,14
2025-11-19T14:22:41.011690,10.0,-74.2182731628418,15
2025-11-19T14:22:41.199672,10.0,-74.33635711669922,16
2025-11-19T14:22:41.388155,10.0,-74.32591915130615,17
2025-11-19T14:22:41.576916,10.0,-74.28688526153564,18
2025-11-19T14:22:41.766374,10.0,-74.32055950164795,19
2025-11-19T14:22:41.955208,10.0,-74.32518482208252,20
2025-11-19T14:22:42.143608,10.0,-74.29786205291748,21
2025-11-19T14:22:42.331777,10.0,-74.25740242004395,22
2025-11-19T14:22:42.520163,10.0,-74.28257942199707,23
2025-11-19T14:22:42.707755,10.0,-74.28529739379883,24
2025-11-19T14:22:42.895486,10.0,-74.2591142654419,25
2025-11-19T14:22:43.083111,10.0,-74.27416801452637,26
2025-11-19T14:22:43.271941,10.0,-74.3554162979126,27
2025-11-19T14:22:43.460397,10.0,-74.36395168304443,28
2025-11-19T14:22:43.649129,10.0,-74.24065589904785,29
2025-11-19T14:22:43.836614,10.0,-74.28408622741699,30
2025-11-19T14:22:44.024712,Noise,-74.31775093078613,0
2025-11-19T14:22:44.211255,Noise,-74.3488597869873,1
2025-11-19T14:22:44.397545,Noise,-74.27721500396729,2
2025-11-19T14:22:44.585279,Noise,-74.27292823791504,3
2025-11-19T14:28:00.410755,10.0,-74.1844129562378,0
2025-11-19T14:28:00.599212,10.0,-74.27618026733398,1
2025-11-19T14:28:00.788259,10.0,-74.41338539123535,2
2025-11-19T14:28:00.976380,10.0,-74.35875415802002,3
2025-11-19T14:28:01.164262,10.0,-74.35486316680908,4
2025-11-19T14:28:01.352259,10.0,-74.31731224060059,5
2025-11-19T14:28:01.541072,10.0,-74.24053192138672,6
2025-11-19T14:28:01.729568,10.0,-74.27745819091797,7
2025-11-19T14:28:01.918489,10.0,-74.2849349975586,8
2025-11-19T14:28:02.107794,10.0,-74.27172660827637,9
2025-11-19T14:28:02.296473,10.0,-74.39413547515869,10
2025-11-19T14:28:02.484986,10.0,-74.270339012146,11
2025-11-19T14:28:02.673185,10.0,-74.33034420013428,12
2025-11-19T14:28:02.860839,10.0,-74.26678657531738,13
2025-11-19T14:28:03.048281,10.0,-74.29712295532227,14
2025-11-19T14:28:03.236144,10.0,-74.29047107696533,15
2025-11-19T14:28:03.423791,10.0,-74.26663398742676,16
2025-11-19T14:28:03.612497,10.0,-74.25125122070312,17
2025-11-19T14:28:03.800565,10.0,-74.33611392974854,18
2025-11-19T14:28:03.988450,10.0,-74.28333282470703,19
2025-11-19T14:28:04.176261,10.0,-74.2522144317627,20
2025-11-19T14:28:04.364251,10.0,-74.27126407623291,21
2025-11-19T14:28:04.551884,10.0,-74.29968357086182,22
2025-11-19T14:28:04.739856,10.0,-74.24405574798584,23
2025-11-19T14:28:04.927692,10.0,-74.32061195373535,24
2025-11-19T14:28:05.115546,10.0,-74.28139686584473,25
2025-11-19T14:28:05.303135,10.0,-74.31663513183594,26
2025-11-19T14:28:05.490435,10.0,-74.3306016921997,27
2025-11-19T14:28:05.677792,10.0,-74.2257833480835,28
2025-11-19T14:28:05.866269,10.0,-74.27036762237549,29
2025-11-19T14:28:06.053870,10.0,-74.36103343963623,30
2025-11-19T14:28:06.241402,Noise,-74.28128242492676,0
2025-11-19T14:28:06.429794,Noise,-74.32098388671875,1
2025-11-19T14:28:06.617433,Noise,-74.29075717926025,2
2025-11-19T14:28:06.805223,Noise,-74.31522846221924,3
2025-11-19T14:28:06.993400,Noise,-74.2123794555664,4
2025-11-19T14:28:07.181119,Noise,-74.2618179321289,5
2025-11-19T14:28:07.368921,Noise,-74.25719261169434,6
2025-11-19T14:28:07.556818,Noise,-74.31558609008789,7
2025-11-19T14:28:07.744668,Noise,-74.2765998840332,8
2025-11-19T14:28:07.932711,Noise,-74.26277160644531,9
2025-11-19T14:28:08.120473,Noise,-74.33356285095215,10
2025-11-19T14:28:08.308098,Noise,-74.31097030639648,11
2025-11-19T14:28:08.495227,Noise,-74.22567844390869,12
2025-11-19T14:28:08.682446,Noise,-74.36389446258545,13
2025-11-19T14:28:08.869800,Noise,-74.227614402771,14
2025-11-19T14:28:09.057111,Noise,-74.24638748168945,15
2025-11-19T14:28:09.244444,Noise,-74.31184768676758,16
2025-11-19T14:29:11.284415,10.0,-74.21232223510742,0
2025-11-19T14:29:11.472352,10.0,-74.35421466827393,1
2025-11-19T14:29:11.660280,10.0,-74.3640661239624,2
2025-11-19T14:29:11.848095,10.0,-74.3223524093628,3
2025-11-19T14:29:12.035693,10.0,-74.34794425964355,4
2025-11-19T14:29:12.223840,10.0,-74.32752132415771,5
2025-11-19T14:29:12.411963,10.0,-74.34860229492188,6
2025-11-19T14:29:12.600132,10.0,-74.28681373596191,7
2025-11-19T14:29:12.788211,10.0,-74.24619674682617,8
2025-11-19T14:29:12.976170,10.0,-74.39709663391113,9
2025-11-19T14:29:13.165058,10.0,-74.35029029846191,10
2025-11-19T14:29:13.352924,10.0,-74.25012588500977,11
2025-11-19T14:29:13.541380,10.0,-74.29473400115967,12
2025-11-19T14:29:13.728294,10.0,-74.30510997772217,13
2025-11-19T14:29:13.915441,10.0,-74.25665855407715,14
2025-11-19T14:29:14.102943,10.0,-74.25636291503906,15
2025-11-19T14:29:14.290629,10.0,-74.30541038513184,16
2025-11-19T14:29:14.477757,10.0,-74.3171215057373,17
2025-11-19T14:29:14.664563,10.0,-74.27800178527832,18
2025-11-19T14:29:14.852007,10.0,-74.33468341827393,19
2025-11-19T14:29:15.040279,10.0,-74.28033828735352,20
2025-11-19T14:29:15.226798,10.0,-74.30787086486816,21
2025-11-19T14:29:15.413918,10.0,-74.33088302612305,22
2025-11-19T14:29:15.601444,10.0,-74.25777435302734,23
2025-11-19T14:29:15.789059,10.0,-74.3643856048584,24
2025-11-19T14:29:15.975713,10.0,-74.32621955871582,25
2025-11-19T14:29:16.162014,10.0,-74.31734561920166,26
2025-11-19T14:29:16.348024,10.0,-74.29782390594482,27
2025-11-19T14:29:16.536144,10.0,-74.29052829742432,28
2025-11-19T14:29:16.724348,10.0,-74.29769039154053,29
2025-11-19T14:29:16.911928,10.0,-74.3035364151001,30
2025-11-19T14:29:17.099890,Noise,-74.34555530548096,0
2025-11-19T14:29:17.287786,Noise,-74.24755573272705,1
2025-11-19T14:29:17.475233,Noise,-74.27406311035156,2
2025-11-19T14:29:17.662627,Noise,-74.36036109924316,3
2025-11-19T14:29:17.850570,Noise,-74.20859336853027,4
2025-11-19T14:29:18.038389,Noise,-74.27573204040527,5
2025-11-19T14:29:18.226057,Noise,-74.31926250457764,6
2025-11-19T14:29:18.414361,Noise,-74.27124977111816,7
2025-11-19T14:29:18.602548,Noise,-74.37132358551025,8
2025-11-19T14:29:18.790245,Noise,-74.25558567047119,9
2025-11-19T14:29:18.977674,Noise,-74.28276062011719,10
2025-11-19T14:29:19.165269,Noise,-74.23744678497314,11
2025-11-19T14:29:19.352919,Noise,-74.2550277709961,12
2025-11-19T14:29:19.540612,Noise,-74.23913955688477,13
2025-11-19T14:29:19.728318,Noise,-74.26117897033691,14
2025-11-19T14:29:19.915830,Noise,-74.20820713043213,15
2025-11-19T14:29:20.103635,Noise,-74.20144081115723,16
2025-11-19T14:29:20.291374,Noise,-74.3476390838623,17
2025-11-19T14:29:20.478483,Noise,-74.27398681640625,18
2025-11-19T14:29:20.665970,Noise,-74.33070182800293,19
2025-11-19T14:29:20.852453,Noise,-74.30565357208252,20
2025-11-19T14:29:21.039471,Noise,-74.32957649230957,21
2025-11-19T14:29:21.226705,Noise,-74.35442447662354,22
2025-11-19T14:29:21.413570,Noise,-74.35291767120361,23
2025-11-19T14:29:21.601276,Noise,-74.30896759033203,24
2025-11-19T14:29:21.788591,Noise,-74.28766250610352,25
2025-11-19T14:29:21.976821,Noise,-74.35454845428467,26
2025-11-19T14:29:22.164599,Noise,-74.24448013305664,27
2025-11-19T14:29:22.352408,Noise,-74.21787738800049,28
2025-11-19T14:29:22.540812,Noise,-74.27698135375977,29
2025-11-19T14:29:22.728777,Noise,-74.30471420288086,30
2025-11-19T14:29:22.916865,-5,-74.3199872970581,0
2025-11-19T14:29:23.104501,-5,-74.31413650512695,1
2025-11-19T14:29:23.291906,-5,-74.30913925170898,2
2025-11-19T14:29:23.480164,-5,-74.31056499481201,3
2025-11-19T14:29:23.667709,-5,-74.21207427978516,4
2025-11-19T14:29:23.855133,-5,-74.30113792419434,5
2025-11-19T14:29:24.043081,-5,-74.34656620025635,6
2025-11-19T14:29:24.230552,-5,-74.22922134399414,7
2025-11-19T14:29:24.418507,-5,-74.30863380432129,8
2025-11-19T14:29:24.606873,-5,-74.36538696289062,9
2025-11-19T14:29:24.794241,-5,-74.24179077148438,10
2025-11-19T14:29:24.981877,-5,-74.30562973022461,11
2025-11-19T14:29:25.169454,-5,-74.29133892059326,12
2025-11-19T14:29:25.357318,-5,-74.32551860809326,13
2025-11-19T14:29:25.544762,-5,-74.27534103393555,14
2025-11-19T14:29:25.732690,-5,-74.34309482574463,15
2025-11-19T14:29:25.920751,-5,-74.23608779907227,16
2025-11-19T14:29:26.108242,-5,-74.25282001495361,17
2025-11-19T14:29:26.295041,-5,-74.2464542388916,18
2025-11-19T14:29:26.483208,-5,-74.18992519378662,19
2025-11-19T14:29:26.670815,-5,-74.33804512023926,20
2025-11-19T14:29:26.858530,-5,-74.2500114440918,21
2025-11-19T14:29:27.046472,-5,-74.29754734039307,22
2025-11-19T14:29:27.234573,-5,-74.27167892456055,23
2025-11-19T14:29:27.423640,-5,-74.26097869873047,24
2025-11-19T14:29:27.611831,-5,-74.27609443664551,25
2025-11-19T14:29:27.799033,-5,-74.31933403015137,26
2025-11-19T14:29:27.988254,-5,-74.19953346252441,27
2025-11-19T14:29:28.177626,-5,-74.23488140106201,28
2025-11-19T14:29:28.365375,-5,-74.26766395568848,29
2025-11-19T14:29:28.552287,-5,-74.31410312652588,30
2025-11-19T14:30:45.560796,10.0,-74.16894435882568,0
2025-11-19T14:30:45.748828,10.0,-74.27473545074463,1
2025-11-19T14:30:45.936276,10.0,-74.41357612609863,2
2025-11-19T14:30:46.124319,10.0,-74.3326187133789,3
2025-11-19T14:30:46.311585,10.0,-74.29104804992676,4
2025-11-19T14:30:46.499215,10.0,-74.30055141448975,5
2025-11-19T14:30:46.687433,10.0,-74.3895959854126,6
2025-11-19T14:30:46.875201,10.0,-74.35419082641602,7
2025-11-19T14:30:47.063346,10.0,-74.29089069366455,8
2025-11-19T14:30:47.251308,10.0,-74.33289051055908,9
2025-11-19T14:30:47.438812,10.0,-74.30459022521973,10
2025-11-19T14:30:47.626298,10.0,-74.33653354644775,11
2025-11-19T14:30:47.812349,10.0,-74.29216384887695,12
2025-11-19T14:30:47.998820,10.0,-74.35354232788086,13
2025-11-19T14:30:48.186307,10.0,-74.31490421295166,14
2025-11-19T14:30:48.373192,10.0,-74.30856227874756,15
2025-11-19T14:30:48.560217,10.0,-74.31196689605713,16
2025-11-19T14:30:48.748530,10.0,-74.32802200317383,17
2025-11-19T14:30:48.936515,10.0,-74.3195390701294,18
2025-11-19T14:30:49.123744,10.0,-74.31873798370361,19
2025-11-19T14:30:49.311436,10.0,-74.28396701812744,20
2025-11-19T14:30:49.498757,10.0,-74.2659854888916,21
2025-11-19T14:30:49.685809,10.0,-74.24409866333008,22
2025-11-19T14:30:49.873534,10.0,-74.411301612854,23
2025-11-19T14:30:50.061832,10.0,-74.35155868530273,24
2025-11-19T14:30:50.249909,10.0,-74.32617664337158,25
2025-11-19T14:30:50.438310,10.0,-74.22673225402832,26
2025-11-19T14:30:50.625776,10.0,-74.33408260345459,27
2025-11-19T14:30:50.813846,10.0,-74.19280529022217,28
2025-11-19T14:30:51.001382,10.0,-74.30875301361084,29
2025-11-19T14:30:51.188843,10.0,-74.33862209320068,30
2025-11-19T14:30:51.376724,Noise,-74.30753231048584,0
2025-11-19T14:30:51.564345,Noise,-74.30235385894775,1
2025-11-19T14:30:51.752569,Noise,-74.35774803161621,2
2025-11-19T14:30:51.939846,Noise,-74.25174713134766,3
2025-11-19T14:30:52.128035,Noise,-74.26699161529541,4
2025-11-19T14:30:52.315698,Noise,-74.21422481536865,5
2025-11-19T14:30:52.503715,Noise,-74.32164669036865,6
2025-11-19T14:30:52.691239,Noise,-74.29728507995605,7
2025-11-19T14:30:52.877901,Noise,-74.35975074768066,8
2025-11-19T14:30:53.065379,Noise,-74.33932304382324,9
2025-11-19T14:30:53.252133,Noise,-74.23426151275635,10
2025-11-19T14:30:53.439461,Noise,-74.33657169342041,11
2025-11-19T14:30:53.627167,Noise,-74.28143501281738,12
2025-11-19T14:30:53.815483,Noise,-74.32333946228027,13
2025-11-19T14:30:54.003017,Noise,-74.28831100463867,14
2025-11-19T14:30:54.190829,Noise,-74.36793804168701,15
2025-11-19T14:30:54.378291,Noise,-74.29756164550781,16
2025-11-19T14:30:54.565416,Noise,-74.31089401245117,17
2025-11-19T14:30:54.752953,Noise,-74.2768383026123,18
2025-11-19T14:30:54.940678,Noise,-74.29319381713867,19
2025-11-19T14:44:28.089107,10.0,-74.23013210296631,0
2025-11-19T14:44:28.276362,10.0,-74.25492286682129,1
2025-11-19T14:44:28.464116,10.0,-74.34608936309814,2
2025-11-19T14:44:28.652383,10.0,-74.38899040222168,3
2025-11-19T14:44:28.840360,10.0,-74.2966890335083,4
2025-11-19T14:44:29.027971,10.0,-74.33815479278564,5
2025-11-19T14:44:29.216104,10.0,-74.3233585357666,6
2025-11-19T14:44:29.404815,10.0,-74.37519550323486,7
2025-11-19T14:44:29.592127,10.0,-74.39220428466797,8
2025-11-19T14:44:29.780580,10.0,-74.3326997756958,9
2025-11-19T14:44:29.967977,10.0,-74.2802381515503,10
2025-11-19T14:44:30.156811,10.0,-74.2972183227539,11
2025-11-19T14:44:30.345094,10.0,-74.21170711517334,12
2025-11-19T14:44:30.533192,10.0,-74.32379245758057,13
2025-11-19T14:44:30.721021,10.0,-74.31412696838379,14
2025-11-19T14:44:30.909149,10.0,-74.31349277496338,15
2025-11-19T14:44:31.098167,10.0,-74.3476676940918,16
2025-11-19T14:44:31.286909,10.0,-74.2483139038086,17
2025-11-19T14:44:31.475548,10.0,-74.19540405273438,18
2025-11-19T14:44:31.665009,10.0,-74.37119960784912,19
2025-11-19T14:44:31.852923,10.0,-74.25035953521729,20
2025-11-19T14:44:32.041221,10.0,-74.25322532653809,21
2025-11-19T14:44:32.229089,10.0,-74.30243968963623,22
2025-11-19T14:44:32.416320,10.0,-74.27568912506104,23
2025-11-19T14:44:32.603486,10.0,-74.2879867553711,24
2025-11-19T14:47:09.295960,10.0,-74.25794124603271,0
2025-11-19T14:47:09.484164,10.0,-74.2124080657959,1
2025-11-19T14:47:09.671568,10.0,-74.27855968475342,2
2025-11-19T14:47:09.858953,10.0,-74.27858829498291,3
2025-11-19T14:47:10.046899,10.0,-74.35216426849365,4
2025-11-19T14:47:10.234950,10.0,-74.33205127716064,5
2025-11-19T14:47:10.423629,10.0,-74.22446250915527,6
2025-11-19T14:47:10.611757,10.0,-74.31883811950684,7
2025-11-19T14:47:10.799649,10.0,-74.27989482879639,8
2025-11-19T14:47:10.987588,10.0,-74.35665130615234,9
2025-11-19T14:47:11.176364,10.0,-74.27580833435059,10
2025-11-19T14:47:11.364376,10.0,-74.32785987854004,11
2025-11-19T14:47:11.553412,10.0,-74.3682050704956,12
2025-11-19T14:47:11.741152,10.0,-74.28530216217041,13
2025-11-19T14:47:11.928648,10.0,-74.30214405059814,14
2025-11-19T14:47:12.116310,10.0,-74.3592643737793,15
2025-11-19T14:47:12.304327,10.0,-74.29588317871094,16
2025-11-19T14:47:12.491825,10.0,-74.32490348815918,17
2025-11-19T14:47:12.679159,10.0,-74.30971622467041,18
2025-11-19T14:51:06.193373,10.0,-74.17108535766602,0
2025-11-19T14:51:06.381170,10.0,-74.13487434387207,1
2025-11-19T14:51:06.568888,10.0,-74.312744140625,2
2025-11-19T14:51:06.757270,10.0,-74.3765926361084,3
2025-11-19T14:51:06.945159,10.0,-74.35037612915039,4
2025-11-19T14:51:07.132983,10.0,-74.33807373046875,5
2025-11-19T14:51:07.321054,10.0,-74.37429428100586,6
2025-11-19T14:51:07.508689,10.0,-74.35531616210938,7
2025-11-19T14:51:07.696170,10.0,-74.21916484832764,8
2025-11-19T14:51:07.884036,10.0,-74.33374881744385,9
2025-11-19T14:51:08.071436,10.0,-74.30034160614014,10
