Power,Result,PatternRIS0,PatternRIS1
10.0,-69.06922817230225,0,0
10.0,-71.65931224822998,0,0
10.0,-73.76082420349121,0,0
10.0,-69.43024158477783,0,1
10.0,-72.40657329559326,0,1
10.0,-73.71932029724121,0,1
10.0,-68.53207111358643,0,2
10.0,-72.38076210021973,0,2
10.0,-73.83478164672852,0,2
10.0,-69.54215049743652,1,0
10.0,-72.90598392486572,1,0
10.0,-74.1640567779541,1,0
10.0,-69.65962886810303,1,1
10.0,-73.4417200088501,1,1
10.0,-74.27332878112793,1,1
10.0,-70.26915073394775,1,2
10.0,-73.54571342468262,1,2
10.0,-74.04763698577881,1,2
10.0,-70.63735961914062,2,0
10.0,-73.46685886383057,2,0
10.0,-74.33289527893066,2,0
10.0,-71.37209892272949,2,1
10.0,-73.47975254058838,2,1
10.0,-74.25553798675537,2,1
10.0,-71.64138317108154,2,2
10.0,-73.75202655792236,2,2
10.0,-74.32497978210449,2,2
