Power,Result,PatternRIS0,PatternRIS1
10.0,-68.14275741577148,0,0
10.0,-70.85778713226318,0,0
10.0,-72.2776746749878,0,0
10.0,-67.47178554534912,0,1
10.0,-71.53717994689941,0,1
10.0,-72.629714012146,0,1
10.0,-68.75510692596436,0,2
10.0,-71.56267642974854,0,2
10.0,-72.52279281616211,0,2
10.0,-69.07433986663818,1,0
10.0,-71.59931659698486,1,0
10.0,-72.66242980957031,1,0
10.0,-69.50145244598389,1,1
10.0,-72.19548225402832,1,1
10.0,-72.6294755935669,1,1
10.0,-69.97228622436523,1,2
10.0,-72.11663246154785,1,2
10.0,-72.61097431182861,1,2
10.0,-70.51076412200928,2,0
10.0,-72.28537082672119,2,0
10.0,-72.6824951171875,2,0
10.0,-70.62758445739746,2,1
10.0,-72.32096195220947,2,1
10.0,-72.69326686859131,2,1
10.0,-71.1575698852539,2,2
10.0,-72.38208293914795,2,2
10.0,-72.62896537780762,2,2
