Power,Result,PatternRIS0,PatternRIS1
10.0,-68.83161544799805,0,0
10.0,-70.6884241104126,0,0
10.0,-72.32260704040527,0,0
10.0,-66.84354782104492,0,1
10.0,-70.80730438232422,0,1
10.0,-72.53241062164307,0,1
10.0,-67.48587131500244,0,2
10.0,-71.26656532287598,0,2
10.0,-72.52245426177979,0,2
10.0,-70.12272357940674,1,0
10.0,-71.3063097000122,1,0
10.0,-72.55186080932617,1,0
10.0,-68.51612091064453,1,1
10.0,-71.54163837432861,1,1
10.0,-72.52040386199951,1,1
10.0,-69.00202751159668,1,2
10.0,-71.73561573028564,1,2
10.0,-72.51645088195801,1,2
10.0,-69.50379371643066,2,0
10.0,-71.95504188537598,2,0
10.0,-72.61553287506104,2,0
10.0,-70.10502338409424,2,1
10.0,-72.20106601715088,2,1
10.0,-72.66060829162598,2,1
10.0,-70.17050266265869,2,2
10.0,-72.23757266998291,2,2
10.0,-72.69542217254639,2,2
