Power,Result,PatternRIS0,PatternRIS1
10.0,-68.60514640808105,0,0
10.0,-70.66893577575684,0,0
10.0,-73.11794757843018,0,0
10.0,-68.20745944976807,0,1
10.0,-71.67987823486328,0,1
10.0,-73.289794921875,0,1
10.0,-68.17938804626465,0,2
10.0,-71.61693096160889,0,2
10.0,-73.32192420959473,0,2
10.0,-68.33748817443848,1,0
10.0,-72.13521957397461,1,0
10.0,-73.38998794555664,1,0
10.0,-69.45501804351807,1,1
10.0,-72.38146781921387,1,1
10.0,-73.40946197509766,1,1
10.0,-71.4717149734497,1,2
10.0,-72.66369342803955,1,2
10.0,-73.49921703338623,1,2
10.0,-70.00138282775879,2,0
10.0,-72.41170406341553,2,0
10.0,-73.52020263671875,2,0
10.0,-71.06942653656006,2,1
10.0,-72.95551300048828,2,1
10.0,-73.54114532470703,2,1
10.0,-71.2022590637207,2,2
10.0,-73.02656173706055,2,2
10.0,-73.5668134689331,2,2
