Power,Result,PatternRIS0,PatternRIS1
10.0,-67.41482257843018,0,0
10.0,-72.25638389587402,0,0
10.0,-74.1033124923706,0,0
10.0,-68.64784240722656,0,1
10.0,-72.66297817230225,0,1
10.0,-74.00357246398926,0,1
10.0,-69.05651569366455,0,2
10.0,-72.93091773986816,0,2
10.0,-74.1520643234253,0,2
10.0,-69.71594333648682,1,0
10.0,-72.92630672454834,1,0
10.0,-74.00002479553223,1,0
10.0,-70.81744194030762,1,1
10.0,-73.48737716674805,1,1
10.0,-74.05553817749023,1,1
10.0,-70.52497863769531,1,2
10.0,-73.56646060943604,1,2
10.0,-74.15151596069336,1,2
10.0,-71.632399559021,2,0
10.0,-73.22943687438965,2,0
10.0,-74.32102680206299,2,0
10.0,-71.58568382263184,2,1
10.0,-73.7763786315918,2,1
10.0,-74.22674179077148,2,1
10.0,-71.33896827697754,2,2
10.0,-73.63665580749512,2,2
10.0,-74.19926166534424,2,2
