Power,Result,PatternRIS0,PatternRIS1
10.0,-67.71153450012207,0,0
10.0,-72.41833209991455,0,0
10.0,-74.01522636413574,0,0
10.0,-67.2491979598999,0,1
10.0,-72.85321235656738,0,1
10.0,-74.12402629852295,0,1
10.0,-67.84414768218994,0,2
10.0,-72.81200885772705,0,2
10.0,-74.36716556549072,0,2
10.0,-68.36240768432617,1,0
10.0,-73.09821128845215,1,0
10.0,-74.23389911651611,1,0
10.0,-69.65009689331055,1,1
10.0,-73.04808616638184,1,1
10.0,-74.16272163391113,1,1
10.0,-69.47993278503418,1,2
10.0,-73.58365535736084,1,2
10.0,-74.34508800506592,1,2
10.0,-71.37353420257568,2,0
10.0,-73.73488426208496,2,0
10.0,-74.31375980377197,2,0
10.0,-71.78088188171387,2,1
10.0,-73.99324417114258,2,1
10.0,-74.21463012695312,2,1
10.0,-72.14760780334473,2,2
10.0,-73.85847091674805,2,2
10.0,-74.33967590332031,2,2
