Timestamp,Step,Power,Result
2025-11-20T14:16:21.983871,1,-30,-74.30896282196045
2025-11-20T14:16:22.170749,2,-25,-74.27953243255615
2025-11-20T14:16:22.357879,2,-25,-74.2660140991211
2025-11-20T14:16:22.545728,2,-25,-74.30962562561035
2025-11-20T14:16:22.733462,2,-25,-74.2289924621582
2025-11-20T14:16:22.919926,2,-25,-74.3284273147583
2025-11-20T14:16:23.106602,2,-25,-74.24642562866211
2025-11-20T14:16:23.293692,2,-25,-74.25925254821777
2025-11-20T14:16:23.481496,2,-25,-74.34709548950195
2025-11-20T14:16:23.669530,2,-25,-74.31387424468994
2025-11-20T14:16:23.857758,2,-25,-74.25570011138916
2025-11-20T14:16:24.045636,2,-25,-74.24415111541748
2025-11-20T14:16:24.232657,2,-25,-74.34525489807129
2025-11-20T14:16:24.419724,2,-25,-74.27983283996582
2025-11-20T14:16:24.606889,2,-25,-74.32703018188477
2025-11-20T14:16:24.794100,2,-25,-74.28205013275146
2025-11-20T14:16:24.981054,2,-25,-74.33145046234131
2025-11-20T14:16:25.168588,2,-25,-74.2784595489502
2025-11-20T14:16:25.355982,2,-25,-74.29115295410156
2025-11-20T14:16:25.543970,2,-25,-74.32126522064209
2025-11-20T14:16:25.732317,2,-25,-74.2979621887207
2025-11-20T14:16:25.919921,2,-25,-74.27591323852539
2025-11-20T14:16:26.107989,2,-25,-74.25938606262207
2025-11-20T14:16:26.295622,2,-25,-74.27347183227539
2025-11-20T14:16:26.482511,2,-25,-74.2455530166626
2025-11-20T14:16:26.669573,2,-25,-74.25795078277588
2025-11-20T14:16:26.856713,2,-25,-74.25519943237305
2025-11-20T14:16:27.043232,2,-25,-74.31188583374023
2025-11-20T14:16:27.230165,2,-25,-74.36462879180908
2025-11-20T14:16:27.417473,2,-25,-74.39356803894043
2025-11-20T14:16:27.605307,2,-25,-74.24018383026123
2025-11-20T14:16:27.792971,2,-25,-74.21031951904297
2025-11-20T14:16:27.980681,2,-25,-74.23487186431885
2025-11-20T14:16:28.168715,2,-25,-74.29243087768555
2025-11-20T14:16:28.356263,2,-25,-74.30510520935059
2025-11-20T14:16:28.543948,2,-25,-74.35546398162842
2025-11-20T14:16:28.731664,2,-25,-74.1927719116211
2025-11-20T14:16:28.919548,2,-25,-74.17356967926025
2025-11-20T14:16:29.107637,2,-25,-74.19572830200195
2025-11-20T14:16:29.295205,2,-25,-74.2652702331543
2025-11-20T14:16:29.483151,2,-25,-74.25652503967285
2025-11-20T14:16:29.671079,2,-25,-74.2479133605957
2025-11-20T14:16:29.858823,2,-25,-74.26516056060791
2025-11-20T14:16:30.046300,2,-25,-74.27061080932617
2025-11-20T14:16:30.234077,2,-25,-74.3260908126831
2025-11-20T14:16:30.421633,2,-25,-74.34977054595947
2025-11-20T14:16:30.609066,2,-25,-74.2785120010376
2025-11-20T14:16:30.796587,2,-25,-74.32926177978516
2025-11-20T14:16:30.983665,2,-25,-74.23396110534668
2025-11-20T14:16:31.170254,2,-25,-74.36773777008057
2025-11-20T14:16:31.357375,2,-25,-74.24691200256348
2025-11-20T14:16:31.544403,2,-25,-74.23821926116943
2025-11-20T14:16:31.731823,2,-25,-74.28696632385254
2025-11-20T14:16:31.918879,2,-25,-74.2559289932251
2025-11-20T14:16:32.106720,2,-25,-74.23971176147461
2025-11-20T14:16:32.294774,2,-25,-74.33388710021973
2025-11-20T14:16:32.482287,2,-25,-74.36061382293701
2025-11-20T14:16:32.669931,2,-25,-74.25215244293213
2025-11-20T14:16:32.857785,2,-25,-74.37849998474121
2025-11-20T14:16:33.045748,2,-25,-74.27263259887695
2025-11-20T14:16:33.233660,2,-25,-74.3393087387085
2025-11-20T14:16:33.421296,2,-25,-74.33907508850098
2025-11-20T14:16:33.608808,2,-25,-74.22188758850098
