Timestamp,Step,Power,Result
2025-05-22T10:38:42.423012,1,-15.0,-74.29466247558594
2025-05-22T10:38:42.694644,2,-15.0,-74.27439212799072
2025-05-22T10:39:46.762707,1,-15.0,-73.89988422393799
2025-05-22T10:39:47.035018,2,-15.0,-74.11872386932373
2025-05-22T10:41:15.373229,1,-15.0,-74.30928230285645
2025-05-22T10:41:15.644186,2,-15.0,-74.36792850494385
2025-05-22T10:43:24.664937,1,-15.0,-73.48028182983398
2025-05-22T10:43:24.935584,2,-15.0,-73.49864959716797
2025-05-22T10:49:52.576691,1,-15.0,-73.46859931945801
2025-05-22T10:49:52.848521,2,-15.0,-73.55942726135254
2025-05-22T11:07:54.622541,1,-15.0,-74.2444658279419
2025-05-22T11:07:54.895148,2,-15.0,-74.38601970672607
2025-05-22T11:08:34.756298,1,-15.0,-74.3394422531128
2025-05-22T11:08:35.027435,2,-15.0,-74.37919616699219
2025-05-22T11:11:35.406343,1,-15.0,-74.34396266937256
2025-05-22T11:11:35.677146,2,-15.0,-74.41554069519043
2025-05-22T11:16:07.249777,1,-15.0,-74.30387496948242
2025-05-22T11:16:07.520042,2,-15.0,-74.29934501647949
2025-05-22T11:20:51.901384,1,-15.0,-74.20754909515381
2025-05-22T11:20:52.171151,2,-15.0,-74.28841590881348
2025-05-22T11:21:46.668734,1,-15.0,-74.06307220458984
2025-05-22T11:21:46.939735,2,-15.0,-74.24962997436523
2025-05-22T11:25:25.006436,1,-15.0,-74.26891803741455
2025-05-22T11:25:25.277039,2,-15.0,-74.2391586303711
2025-05-22T11:28:02.209250,1,-15.0,-74.17295932769775
2025-05-22T11:28:02.480962,2,-15.0,-74.34411525726318
2025-05-22T11:31:03.836554,1,-15.0,-74.2087173461914
2025-05-22T11:31:04.106674,2,-15.0,-74.48199272155762
2025-05-22T11:31:59.897664,1,-15.0,-72.7268648147583
2025-05-22T11:32:00.169298,2,-15.0,-72.83461570739746
2025-05-22T11:35:20.540136,1,-15.0,-72.53005027770996
2025-05-22T11:35:20.812011,2,-15.0,-72.68324851989746
2025-05-22T11:36:00.472287,1,-15.0,-72.61643886566162
2025-05-22T11:36:00.743837,2,-15.0,-72.76236057281494
2025-05-22T11:44:12.850547,1,-15.0,-72.67214298248291
2025-05-22T11:44:13.121224,2,-15.0,-72.69704818725586
2025-05-22T11:47:34.394309,1,-15.0,-72.70435333251953
2025-05-22T11:47:34.664410,2,-15.0,-72.68292427062988
2025-05-22T11:52:17.629536,1,-15.0,-72.63291358947754
2025-05-22T11:52:17.899395,2,-15.0,-72.64453887939453
2025-05-22T11:53:55.916477,1,-15.0,-72.6224136352539
2025-05-22T11:53:56.188139,2,-15.0,-72.80510902404785
2025-05-22T11:55:22.696291,1,-15.0,-72.64043807983398
2025-05-22T11:55:22.969119,2,-15.0,-72.73591041564941
2025-05-22T11:57:39.209066,1,-15.0,-72.50379085540771
2025-05-22T11:57:39.479930,2,-15.0,-72.57952213287354
2025-05-22T12:01:34.988404,1,-15.0,-72.5063705444336
2025-05-22T12:01:35.259684,2,-15.0,-72.57798671722412
2025-05-22T12:18:57.881535,1,-15.0,-72.49504566192627
2025-05-22T12:18:58.151822,2,-15.0,-72.56105899810791
2025-05-22T12:43:29.686578,1,-15.0,-72.5059986114502
2025-05-22T12:43:29.958012,2,-15.0,-72.53337383270264
2025-05-22T12:46:51.622246,1,-15.0,-73.03954124450684
2025-05-22T12:46:51.892893,2,-15.0,-73.21888446807861
