Power,Result,PatternRIS0,PatternRIS1
10.0,-67.46827602386475,0,0
10.0,-71.24715328216553,0,0
10.0,-73.77986431121826,0,0
10.0,-66.77152156829834,0,1
10.0,-71.74134254455566,0,1
10.0,-73.75693321228027,0,1
10.0,-67.72467613220215,0,2
10.0,-71.95600509643555,0,2
10.0,-73.74188899993896,0,2
10.0,-68.41059684753418,1,0
10.0,-73.13453674316406,1,0
10.0,-73.92034530639648,1,0
10.0,-71.11083984375,1,1
10.0,-72.36120223999023,1,1
10.0,-73.92652034759521,1,1
10.0,-69.26989078521729,1,2
10.0,-72.84546375274658,1,2
10.0,-73.90437602996826,1,2
10.0,-67.86590576171875,2,0
10.0,-73.06396484375,2,0
10.0,-74.04754638671875,2,0
10.0,-70.29277801513672,2,1
10.0,-73.28365325927734,2,1
10.0,-73.96332740783691,2,1
10.0,-70.7871961593628,2,2
10.0,-73.47520351409912,2,2
10.0,-73.93481731414795,2,2
