Power,Result,PatternRIS0,PatternRIS1
10.0,-68.86732578277588,0,0
10.0,-70.43547630310059,0,0
10.0,-72.18789100646973,0,0
10.0,-68.15008163452148,0,1
10.0,-70.73137283325195,0,1
10.0,-72.5847864151001,0,1
10.0,-68.3819055557251,0,2
10.0,-71.65236949920654,0,2
10.0,-72.50181198120117,0,2
10.0,-67.87440299987793,1,0
10.0,-71.82908058166504,1,0
10.0,-72.3201847076416,1,0
10.0,-68.28824043273926,1,1
10.0,-72.19137668609619,1,1
10.0,-72.56064414978027,1,1
10.0,-68.96964073181152,1,2
10.0,-72.06599235534668,1,2
10.0,-72.51772403717041,1,2
10.0,-69.24602508544922,2,0
10.0,-72.14199542999268,2,0
10.0,-72.48327732086182,2,0
10.0,-69.5944356918335,2,1
10.0,-72.2265625,2,1
10.0,-72.59254932403564,2,1
10.0,-70.40837287902832,2,2
10.0,-72.36862659454346,2,2
10.0,-72.65048027038574,2,2
