Timestamp,Step,Power,Result
2025-11-16T15:07:39.411675,1,-30,-62.500564727341626
2025-11-16T15:07:39.419685,2,-25,-79.70699506300642
2025-11-16T15:07:39.426795,3,-20,-62.061314739670486
2025-11-16T15:07:39.431798,4,Noise,-62.19932527935747
2025-11-16T15:07:39.441731,5,-15,-69.83551784921033
