Power,Result,PatternRIS0,PatternRIS1
10.0,-68.75572204589844,0,0
10.0,-71.12551212310791,0,0
10.0,-72.33818054199219,0,0
10.0,-68.44705104827881,0,1
10.0,-71.21356010437012,0,1
10.0,-72.34010696411133,0,1
10.0,-68.16286087036133,0,2
10.0,-71.14788055419922,0,2
10.0,-72.45033740997314,0,2
10.0,-68.16402435302734,1,0
10.0,-71.363525390625,1,0
10.0,-72.56586074829102,1,0
10.0,-69.33281421661377,1,1
10.0,-71.82732582092285,1,1
10.0,-72.58467197418213,1,1
10.0,-68.9101791381836,1,2
10.0,-71.54070377349854,1,2
10.0,-72.64612197875977,1,2
10.0,-69.27289009094238,2,0
10.0,-72.0201587677002,2,0
10.0,-72.53600597381592,2,0
10.0,-69.93173122406006,2,1
10.0,-72.17514514923096,2,1
10.0,-72.6170015335083,2,1
10.0,-70.31778812408447,2,2
10.0,-72.16478824615479,2,2
10.0,-72.55810260772705,2,2
