Power,Result,PatternRIS0,PatternRIS1
10.0,-68.24533939361572,0,0
10.0,-71.63768291473389,0,0
10.0,-73.65447521209717,0,0
10.0,-67.66284465789795,0,1
10.0,-72.69067764282227,0,1
10.0,-73.69827270507812,0,1
10.0,-71.33688449859619,0,2
10.0,-72.35764026641846,0,2
10.0,-73.81696701049805,0,2
10.0,-68.96721839904785,1,0
10.0,-72.77865409851074,1,0
10.0,-74.09345149993896,1,0
10.0,-69.34691429138184,1,1
10.0,-73.34486961364746,1,1
10.0,-73.93280029296875,1,1
10.0,-72.1291971206665,1,2
10.0,-72.81149864196777,1,2
10.0,-73.94996166229248,1,2
10.0,-70.37128925323486,2,0
10.0,-73.43344688415527,2,0
10.0,-74.0565824508667,2,0
10.0,-70.55866241455078,2,1
10.0,-73.41986656188965,2,1
10.0,-74.30551528930664,2,1
10.0,-71.55634880065918,2,2
10.0,-73.57730388641357,2,2
10.0,-74.2530632019043,2,2
