Power,Result,PatternRIS0,PatternRIS1
10.0,-69.39181804656982,0,0
10.0,-71.18470191955566,0,0
10.0,-73.86571407318115,0,0
10.0,-68.46762657165527,0,1
10.0,-71.57342910766602,0,1
10.0,-73.89742374420166,0,1
10.0,-69.23868179321289,0,2
10.0,-73.06944847106934,0,2
10.0,-74.03966426849365,0,2
10.0,-68.5060167312622,1,0
10.0,-72.69052505493164,1,0
10.0,-74.05600070953369,1,0
10.0,-68.57584953308105,1,1
10.0,-73.08008193969727,1,1
10.0,-74.14665222167969,1,1
10.0,-69.22976493835449,1,2
10.0,-73.3576774597168,1,2
10.0,-74.12051200866699,1,2
10.0,-69.57382678985596,2,0
10.0,-73.1525182723999,2,0
10.0,-74.37623977661133,2,0
10.0,-70.59772491455078,2,1
10.0,-73.48636627197266,2,1
10.0,-74.17600631713867,2,1
10.0,-70.97085952758789,2,2
10.0,-73.60598564147949,2,2
10.0,-74.33166980743408,2,2
