Power,Result,PatternRIS0,PatternRIS1
10.0,-67.66948223114014,0,0
10.0,-72.14645862579346,0,0
10.0,-73.7297773361206,0,0
10.0,-66.75066471099854,0,1
10.0,-72.17467784881592,0,1
10.0,-73.90009880065918,0,1
10.0,-67.95758247375488,0,2
10.0,-72.73521423339844,0,2
10.0,-74.01370048522949,0,2
10.0,-68.07116985321045,1,0
10.0,-72.71965980529785,1,0
10.0,-73.95337581634521,1,0
10.0,-69.12084579467773,1,1
10.0,-73.10781955718994,1,1
10.0,-74.07775402069092,1,1
10.0,-69.49215888977051,1,2
10.0,-73.20197105407715,1,2
10.0,-74.11264896392822,1,2
10.0,-70.36544799804688,2,0
10.0,-73.13134670257568,2,0
10.0,-74.15725231170654,2,0
10.0,-70.89595317840576,2,1
10.0,-73.70691776275635,2,1
10.0,-74.23390865325928,2,1
10.0,-71.24804973602295,2,2
10.0,-73.7890100479126,2,2
10.0,-74.28596019744873,2,2
